taxonomy,Lon,Lat,CK1occupants,CK1occupantsSTD,CK1structural,CK1structuralSTD,CK2occupants,CK2occupantsSTD,CK2structural,CK2structuralSTD,CKCoccupants,CKCoccupantsSTD,CKCstructural,CKCstructuralSTD,Voccupants,VoccupantsSTD,Vstructural,VstructuralSTD,SPoccupants,SPoccupantsSTD,SPstructural,SPstructuralSTD,Coccupants,CoccupantsSTD,Cstructural,CstructuralSTD,KPoccupants,KPoccupantsSTD,KPstructural,KPstructuralSTD,Toccupants,ToccupantsSTD,Tstructural,TstructuralSTD,N45occupants,N45occupantsSTD,N45structural,N45structuralSTD,Nrfoccupants,NrfoccupantsSTD,Nrfstructural,NrfstructuralSTD
CR+PC/LWAL+DUC/FC/HBET:1-16,77.0869,43.3748,0.16924933333333336,0.3820780058123676,503090.66666666674,428181.0669612928,0.27324599999999993,0.5129950375542959,674521.6666666665,530572.1456731614,0.2163503333333333,0.44221759258938986,585890.0,477557.5939809657,0.340102,0.5966784374322199,766257.6666666665,587106.689534837,0.12225133333333335,0.30829897845868165,416795.33333333326,369776.9880548124,0.11840663333333334,0.3053447431123276,404142.66666666674,363731.93879773,0.0504106,0.187518,300452.0,393173.0,0.6952550000000001,0.9484791027393978,1191153.0,810818.2844167025,0.18168233333333336,0.3959371077139511,527098.3333333335,441321.91439721436,0.175724,0.732221,482884.0,783039.0
MR+MOC/LWAL+DNO/FC/HBET:1-2,77.0869,43.3748,0.0009057766666666668,0.0029864885177728192,47706.26666666667,67899.1833551283,0.00183372,0.005113145187191539,73575.13333333332,95823.55348416867,0.001228662333333333,0.0037146118993180905,57905.63333333334,78653.07911681243,0.0029267266666666673,0.007491258841624831,97553.73333333334,121593.44157843749,0.0006485396666666668,0.002300504744388839,39589.53333333333,57981.694238871634,0.0003771033333333333,0.0014956482645513802,29220.93333333333,44898.25410696204,0.00659522,0.026435900000000002,159946.0,327589.0,0.010409643333333331,0.019248585412872984,224640.0,230870.43024461434,0.0013377866666666668,0.003981918393362678,60809.86666666668,82122.1610948524,0.001011,0.00627823,46487.8,126895.0
MR+MOC/LWAL+DNO/FC/HBET:3-5,77.0869,43.3748,1.6574266666666666,1.7274581680768872,914643.6666666665,554950.340899576,2.298093333333333,2.076396920249648,1141270.0,627798.306615181,1.95735,1.8997121325611412,1023260.6666666665,591622.3486039609,2.4098900000000003,2.1270513288300723,1179823.333333333,638163.7426415122,0.9911533333333334,1.2688747450705202,646738.6666666665,448003.8529534217,1.275855,1.4914766197035143,760497.0,498303.3689493,0.46099,1.12986,437943.0,507977.0,3.76358,2.6877896380173305,1598236.666666667,740186.7943296477,1.3597413333333332,1.5316442326902593,797011.6666666665,509232.9894674932,0.903681,2.16019,594435.0,766773.0
MUR+ADO/LWAL+DNO/FW/HBET:1,77.0869,43.3748,0.6141040000000001,0.5118825325530154,510748.0,295970.18354688666,0.8343200000000001,0.6005027351311566,646421.6666666665,330837.16042622674,0.7222363333333334,0.5575225320387409,578815.3333333335,314528.9456545384,0.9444166666666668,0.6392228333861535,710244.0,344504.0297919444,0.5019123333333333,0.4581582144594449,437929.66666666674,273580.2669380394,0.4844656666666667,0.4488454881306286,424776.33333333326,268477.5122672702,0.351614,0.5789810000000001,346868.0,379465.0,1.4220733333333335,0.7666031379186147,971219.6666666665,383656.5153800409,0.6466243333333334,0.5256688716507337,531441.6666666665,301680.70411446603,0.579504,0.902454,479536.0,521311.0
MUR+CLBRS/LWAL+DNO/FW/HBET:1-3,77.0869,43.3748,0.18899600000000005,0.18778378810009724,458299.66666666674,289059.9582193593,0.26557099999999995,0.2268931041567568,588501.3333333335,330137.3636858519,0.2260763333333333,0.20748392278225106,523099.66666666674,310457.4689055205,0.3055263333333333,0.2452938602035435,651322.3333333335,347509.5009612447,0.151019,0.1647222993384118,389561.33333333326,263657.00735151256,0.145662,0.16146194631587688,377709.0,258612.3581418078,0.0985015,0.191984,301823.0,351489.0,0.4856566666666666,0.3101472461851342,914890.0,402675.6131801379,0.199975,0.19357041311396508,477857.66666666674,295554.40766389447,0.180141,0.333973,431629.0,510686.0
CR+CIP/LFINF+DNO/FC/HBET:3-7,76.928,43.3653,0.17605833333333334,0.21125371833177284,322024.33333333326,195563.1210479113,0.23001166666666664,0.2460852868607413,380998.0,217396.27589930996,0.20586,0.2311784803345194,355238.66666666674,208273.19218196726,0.190194,0.22009449674830328,338551.66666666674,201453.8852743007,0.16405699999999998,0.20226279730972666,308302.33333333326,189918.54607143794,0.1116801,0.16301107644642499,241884.66666666663,161967.93448704592,0.0306448,0.0931941,134508.0,146056.0,0.195963,0.2239183916015932,344377.66666666674,203783.52701634698,0.7497569999999999,0.4456508826611552,824027.3333333335,312874.5252166682,0.815083,0.8258540000000001,863568.0,570997.0
CR+CIP/LFM+DUC/FC/HBET:1-7,76.928,43.3653,0.25009600000000004,0.30516145915291026,489409.0,301513.4758936065,0.33582166666666663,0.3647311257177448,593399.0,342655.5400523324,0.29868933333333336,0.3392910584807681,550055.3333333335,325790.05461459036,0.311468,0.34978541638743793,563668.6666666665,331719.687995586,0.3016236666666667,0.3436798707224178,552521.3333333335,328248.50985698827,0.15300953333333334,0.2227289705810879,358036.0,241655.1181767107,0.126058,0.287426,333107.0,359124.0,0.3542776666666667,0.3808407113584366,612178.6666666665,351722.1811439629,1.2607286666666668,0.7802463269238903,1430363.333333333,564262.2864610235,1.68935,1.62203,1750150.0,1111950.0
CR+PC/LWAL+DUC/FC/HBET:1-16,76.928,43.3653,0.2961613333333333,0.6145128487947904,908578.0,720993.1908906398,0.4253203333333333,0.7735482091850083,1136350.0,846257.8836068037,0.36713466666666666,0.7016653641555606,1039917.3333333335,792851.7899470379,0.3898813333333333,0.7383525896276716,1071740.333333333,814777.3438935463,0.3740696666666667,0.7194132254117472,1046684.0,802579.9380747067,0.160554,0.4026281256806473,630617.0,546864.9604772441,0.108075,0.39937,567272.0,749700.0,0.46064799999999995,0.8331175363969426,1181641.0,880802.4193439878,2.3916066666666667,2.323084151080197,3291296.666666666,1751608.9140527027,3.5456300000000005,5.19632,4253430.0,3659870.0
MCF+MOC/LWAL+DNO/FC/HBET:1-5,76.928,43.3653,0.0646244,0.08951385143279968,204585.66666666663,155637.5780941094,0.08839366666666666,0.10763410595882494,256510.0,178424.91508879708,0.0780173,0.0998824491417564,234698.66666666663,169086.30880575624,0.08165486666666667,0.10308575747998472,241627.0,172364.5047015191,0.07887963333333332,0.1012021826713458,235990.0,170370.0819409193,0.0382648,0.06453964017463308,140871.0,122517.54827869445,0.0303217,0.08056310000000001,127654.0,179102.0,0.0936823,0.11251282986249464,266105.66666666674,183331.52424228625,0.3586723333333333,0.2329016746989071,692527.0,296687.16859382746,0.486106,0.481503,860380.0,580202.0
MR+MOC/LWAL+DNO/FC/HBET:1-2,76.928,43.3653,0.0005574886666666666,0.0031483828492171093,23128.73333333333,41769.3159233479,0.0008538063333333334,0.003973445845593805,31914.86666666667,50945.323531027956,0.00068831,0.0035257624220616773,27333.0,46096.77516814188,0.0008356326666666666,0.003971537913462071,31052.9,50552.85452457985,0.000904128,0.004188925929832399,33162.96666666667,52665.18545715629,0.00020131,0.0016845110311468892,11040.96,25635.874805219515,0.0040807,0.0169887,89581.2,190174.0,0.0012536529999999998,0.004993111737913432,41748.36666666667,61249.36346158129,0.013490353333333337,0.01895707919851813,225829.66666666663,180837.1753109533,0.0158091,0.0370175,247702.0,345754.0
MR+MOC/LWAL+DNO/FC/HBET:3-5,76.928,43.3653,0.7854573333333333,0.7375632155957889,393045.66666666674,223158.4627610813,0.992944,0.8359966123336466,462815.0,242353.36722072214,0.901142,0.7945918957063571,432587.66666666674,234523.0534448823,0.8421436666666667,0.7640929233847586,413071.66666666674,228567.5550186908,0.7391186666666666,0.712322681233723,376749.0,218049.37605786038,0.5223026666666666,0.5904102376616337,294654.0,190650.6105908572,0.180691,0.44139,160144.0,194532.0,0.8639853333333334,0.7745853813564462,419866.0,230532.9051767279,2.712823333333333,1.2850796895350711,933722.0,302321.2582858763,2.87995,2.3439,966738.0,545907.0
MUR+ADO/LWAL+DNO/FW/HBET:1,76.928,43.3653,0.11023686666666667,0.08648003280076981,91647.86666666664,49507.530244611386,0.14007999999999998,0.09745608466381153,110220.33333333331,53764.17268849003,0.12761066666666668,0.0931172718732197,102641.16666666669,52161.52606856045,0.13145333333333334,0.09444069561664377,104866.26666666666,52566.306644095814,0.12825766666666666,0.09357406507444012,102963.8,52330.82783999207,0.07365213333333334,0.06969497746689579,67192.90000000001,42363.60420992949,0.0667046,0.106718,63536.5,68227.2,0.14529699999999998,0.09934424666895524,113178.0,54367.3266580418,0.3674593333333333,0.1358626306045109,228318.66666666663,62343.945554747595,0.443806,0.250182,262614.0,110217.0
MUR+CLBRS/LWAL+DNO/FW/HBET:1-3,76.928,43.3653,0.399439,0.37579794715822135,971372.0,573482.4103140004,0.5202706666666667,0.432932449366334,1180653.333333333,633140.365857191,0.4690643333333333,0.4096940508946211,1094513.333333333,609966.9937609556,0.4854563333333333,0.4175772847786517,1120363.333333333,616582.8740430779,0.4721233333333334,0.4124758871268854,1098536.666666667,612530.3893652951,0.256511,0.2924311707179049,701662.3333333335,478982.4513943885,0.224839,0.425843,657289.0,754195.0,0.5429496666666667,0.4443109737537438,1215386.666666667,642881.2808439485,1.56572,0.6947322481759111,2624510.0,815909.0570849995,1.95833,1.32721,3081520.0,1485850.0
MUR+MOCL/LWAL+DNO/FC/HBET:1-2,76.928,43.3653,0.03277480000000001,0.029832800169332638,421556.66666666674,272102.9700556595,0.04247093333333333,0.0342938477354013,519548.0,302237.3790681755,0.03837,0.032481507049208436,479053.66666666674,290455.8222805435,0.0396786,0.03309459562348847,491295.33333333326,293915.04862478736,0.03861269999999999,0.03270043777844912,481011.33333333326,291761.8860153297,0.02123273333333333,0.023301321102151173,296994.0,224865.69658773852,0.0187227,0.0340924,275547.0,351250.0,0.0442774,0.03518252907555428,536057.6666666665,307301.0125463305,0.125278,0.05473186305507972,1215533.0,401393.45712765283,0.15624000000000002,0.104674,1441110.0,736621.0
S/LFM+DNO/FME/HBET:1-25,76.928,43.3653,0.03394933333333334,0.030110853341407937,165481.0,110479.19914324746,0.0426438,0.033246821277061786,199546.66666666663,118309.28609839176,0.038821400000000006,0.03196867677013444,184805.3333333333,115237.13077389596,0.03639966666666666,0.031039921081998045,175421.33333333337,112888.4232884646,0.03202053333333333,0.029288969986213807,157753.0,108274.28223010506,0.02256753333333333,0.024778412691225132,117440.76666666663,95167.54292241072,0.00771348,0.021757,51953.1,100389.0,0.037321266666666665,0.031351483992273436,178870.0,113605.93963394305,0.10523886666666668,0.04119730442729907,410043.0,125383.68933885387,0.109055,0.0731729,419357.0,221948.0
UNK,76.928,43.3653,0.039102999999999985,0.041212106565506536,145769.33333333337,102858.49099666547,0.051653366666666665,0.04818384359260547,181634.66666666663,115895.51506900994,0.04628363333333333,0.04529416851681903,166696.66666666663,110688.12422949649,0.04805153333333333,0.0463490226604498,171310.33333333337,112346.68225630876,0.04664193333333333,0.04568826528898495,167485.33333333337,111311.26000394867,0.02455263333333333,0.0312833497097098,101038.13333333336,83157.6337218792,0.0209868,0.043565,92639.3,126562.0,0.05413866666666667,0.04974199195495358,187924.0,118332.86014224641,0.17048533333333335,0.08623927254511783,456101.33333333326,169310.09670785206,0.219025,0.17002,551955.0,319117.0
