lon,lat,vs30,z1pt0,z2pt5,vs30measured
76.52895,43.18400,4.720477E+02,2.636753E+02,1.046342E+00,0
76.52917,43.19301,4.246003E+02,3.247177E+02,1.181147E+00,0
76.52940,43.20201,4.414783E+02,3.029870E+02,1.129633E+00,0
76.52962,43.21101,4.292810E+02,3.187128E+02,1.166426E+00,0
76.52985,43.22001,3.602390E+02,4.022051E+02,1.425522E+00,0
76.53007,43.22901,3.309140E+02,4.321537E+02,1.570940E+00,0
76.53030,43.23801,3.548532E+02,4.080191E+02,1.450300E+00,0
76.53052,43.24702,3.643632E+02,3.976650E+02,1.407078E+00,0
76.53075,43.25602,3.527120E+02,4.102932E+02,1.460376E+00,0
76.53097,43.26502,3.261055E+02,4.366428E+02,1.597467E+00,0
76.53120,43.27402,2.947712E+02,4.627487E+02,1.793175E+00,0
76.53143,43.28302,3.464827E+02,4.167843E+02,1.490452E+00,0
76.53165,43.29202,4.344068E+02,3.121143E+02,1.150694E+00,0
76.53188,43.30102,4.535052E+02,2.874526E+02,1.095427E+00,0
76.53210,43.31003,4.149722E+02,3.369825E+02,1.212550E+00,0
76.53233,43.31903,2.589917E+02,4.857684E+02,2.079287E+00,0
76.53256,43.32803,5.215582E+02,2.034555E+02,9.335107E-01,0
76.53278,43.33703,5.393861E+02,1.836223E+02,8.982979E-01,0
76.53301,43.34603,3.887122E+02,3.694696E+02,1.306709E+00,0
76.53324,43.35503,2.663826E+02,4.815964E+02,2.013423E+00,0
76.53346,43.36403,3.580289E+02,4.046071E+02,1.435592E+00,0
76.53369,43.37303,3.993683E+02,3.564962E+02,1.266900E+00,0
76.53392,43.38204,3.922156E+02,3.652412E+02,1.293365E+00,0
76.53414,43.39104,3.697747E+02,3.915973E+02,1.383545E+00,0
76.53437,43.40004,4.671552E+02,2.699133E+02,1.058888E+00,0
76.53460,43.40904,4.702709E+02,2.659369E+02,1.050866E+00,0
76.52433,42.49968,6.000000E+02,1.258341E+02,7.952587E-01,0
76.52455,42.50868,3.260146E+02,4.367265E+02,1.597976E+00,0
76.52477,42.51768,4.250959E+02,3.240830E+02,1.179572E+00,0
76.52499,42.52669,4.670186E+02,2.700878E+02,1.059242E+00,0
