lon,lat,vs30,vs30measured,z1pt0,z2pt5
76.92571,43.21908,540.8978,0,181.9957,0.8954262
76.95039,43.21908,581.8926,0,141.4575,0.8236322
76.97508,43.21908,599.863,0,125.9469,0.7954665
76.98742,43.21908,604.4031,0,122.2482,0.7886344
77.02444,43.21908,696.3452,0,64.98117,0.6706905
77.09848,43.21908,652.4669,0,88.33857,0.7225344
76.6171,43.21009,501.0769,0,227.5817,0.9772888
76.72815,43.21009,455.5246,0,284.8487,1.089873
76.80218,43.21009,473.3542,0,262.0154,1.043039
76.8392,43.21009,538.0616,0,185.0548,0.9008278
76.87622,43.21009,543.6307,0,179.0777,0.890278
76.9009,43.21009,542.3109,0,180.4832,0.8927573
76.91324,43.21009,549.8203,0,172.5789,0.8788225
76.93791,43.21009,650.2146,0,89.72243,0.7253983
76.96259,43.21009,589.3156,0,134.8816,0.8117748
76.67869,43.2011,425.283,0,323.8433,1.178979
76.85141,43.2011,542.0795,0,180.7304,0.8931933
76.87609,43.2011,542.8107,0,179.9501,0.891817
76.88842,43.2011,542.1639,0,180.6402,0.893034
76.9131,43.2011,557.0768,0,165.1586,0.8657387
76.96245,43.2011,653.3843,0,87.7804,0.7213743
76.98712,43.2011,637.5851,0,97.84345,0.7418599
76.76494,43.1921,522.8814,0,201.9438,0.9308087
76.81428,43.1921,548.9669,0,173.4658,0.8803853
76.85129,43.1921,553.2086,0,169.0872,0.8726673
76.86362,43.1921,541.7748,0,181.056,0.8937681
76.87596,43.1921,542.1233,0,180.6836,0.8931107
76.90063,43.1921,539.0585,0,183.976,0.8989222
76.91296,43.1921,554.8771,0,167.3851,0.869666
76.93763,43.1921,644.0848,0,93.58667,0.7333019
76.97464,43.1921,662.5607,0,82.36919,0.7099558
76.83883,43.18311,583.3602,0,140.1384,0.8212623
76.88816,43.18311,544.6263,0,178.0221,0.8884168
76.90049,43.18311,557.0898,0,165.1454,0.8657151
76.91283,43.18311,556.9258,0,165.3108,0.866007
77.18416,43.18311,900,0,15.45801,0.5001037
77.57883,43.18311,900,0,15.45801,0.5001037
76.41942,43.17412,536.7635,0,186.4654,0.90332
76.50574,43.17412,538.5416,0,184.5349,0.8999094
76.87569,43.17412,560.4625,0,161.771,0.8597583
76.88803,43.17412,551.3978,0,170.9475,0.8759462
76.93735,43.17412,686.9397,0,69.44157,0.6812062
76.94968,43.17412,625.5056,0,106.2018,0.7582718
77.04834,43.17412,719.0787,0,55.30175,0.6464893
76.83857,43.16512,655.1747,0,86.70016,0.7191192
76.86323,43.16512,646.7296,0,91.9017,0.729872
76.91242,43.15613,746.2052,0,45.57946,0.6196745
76.98639,43.15613,878.7645,0,17.88654,0.5139531
77.4302,43.15613,900,0,15.45801,0.5001037
76.0741,43.14714,438.486,0,306.8514,1.138456
76.20969,43.14714,608.8272,0,118.7288,0.7820823
76.56715,43.14714,823.1943,0,26.36758,0.5538329
76.65343,43.14714,900,0,15.45801,0.5001037
76.72739,43.14714,751.2136,0,43.97927,0.6149504
76.80135,43.14714,703.7623,0,61.65694,0.6626101
76.88763,43.14714,641.8606,0,95.02469,0.7362095
77.28207,43.14714,900,0,15.45801,0.5001037
77.87345,43.13814,694.0448,0,66.04635,0.673234
76.85027,43.12016,900,0,15.45801,0.5001037
76.92406,43.11116,900,0,15.45801,0.5001037
77.09652,43.11116,900,0,15.45801,0.5001037
77.71247,43.11116,510.564,0,216.243,0.9565423
76.99767,43.09318,900,0,15.45801,0.5001037
76.77588,43.08418,900,0,15.45801,0.5001037
76.33249,43.0662,728.8395,0,51.58871,0.6365941
76.4679,43.0662,602.7706,0,123.568,0.7910783
76.59091,43.0572,726.9886,0,52.27354,0.6384488
76.68938,43.0572,725.3225,0,52.8976,0.6401266
76.86144,43.03922,900,0,15.45801,0.5001037
76.93499,43.02123,900,0,15.45801,0.5001037
77.1933,43.02123,381.5366,0,378.0063,1.334861
77.04554,43.01224,900,0,15.45801,0.5001037
77.5375,43.01224,842.5627,0,23.01059,0.5392926
76.04929,42.99425,617.9797,0,111.7106,0.7688456
76.20913,42.99425,646.6337,0,91.96233,0.7299959
76.78702,42.99425,831.4888,0,24.87118,0.5475171
77.35262,42.99425,900,0,15.45801,0.5001037
77.73327,42.97627,900,0,15.45801,0.5001037
76.5285,42.95828,900,0,15.45801,0.5001037
76.67596,42.95828,900,0,15.45801,0.5001037
77.92909,42.94929,900,0,15.45801,0.5001037
76.36864,42.94029,900,0,15.45801,0.5001037
